"Sample Name"	"Protocol REF"	"Extract Name"	"Protocol REF"	"Parameter Value[kit name]"	"Term Source REF"	"Term Accession Number"	"Parameter Value[plate ID]"	"Term Source REF"	"Term Accession Number"	"Parameter Value[plate position]"	"Term Source REF"	"Term Accession Number"	"Parameter Value[mass spectrometry instrument]"	"Term Source REF"	"Term Accession Number"	"Parameter Value[acquisition parameter file]"	"Term Source REF"	"Term Accession Number"	"Parameter Value[inlet type]"	"Term Source REF"	"Term Accession Number"	"Parameter Value[polarity]"	"Term Source REF"	"Term Accession Number"	"Parameter Value[run number]"	"Term Source REF"	"Term Accession Number"	"Parameter Value[injection number]"	"Term Source REF"	"Term Accession Number"	"Date"	"MS Assay Name"	"Raw Spectral Data File"	"Protocol REF"	"Parameter Value[software]"	"Term Source REF"	"Term Accession Number"	"Data Transformation Name"	"Derived Spectral Data File"	"Factor Value[treatment]"	"Term Source REF"	"Term Accession Number"	"Factor Value[duration]"	"Unit"	"Term Source REF"	"Term Accession Number"
"BA01 Cal 1"	"extraction/derivatization"	"BA01 Cal 1"	"BA01-0-1"	"not reported"	""	""	"306281"	""	""	"13"	""	""	"none reported"	""	""	"BA01_1_A1B1_2008-07-24.dam"	""	""	"liquid chromatography separation"	"MS"	"http://purl.obolibrary.org/obo/MS_1002271"	"negative scan"	"MS"	"http://purl.obolibrary.org/obo/MS_1000129"	"1"	""	""	"1"	""	""	"17/11/2010"	"BA01-0-1_306281_13_1_1_STANDARD_L1_282969_BA01 Cal 1"	"BA01-0-1_306281_13_0_1_1_02_282969.wiff"	"biocrates analysis"	"MetIQ_Local Build-DB100-Local Build"	""	""	"DT_BA01-0-1_306281"	"BA01-0-1_306281_maf-negative.txt"	""	""	""	""	""	""	""
"BA01 Cal 1"	"extraction/derivatization"	"BA01 Cal 1"	"BA01-0-1"	"not reported"	""	""	"231560"	""	""	"13"	""	""	"none reported"	""	""	"BA01_QTrap5500_A1B1.dam"	""	""	"liquid chromatography separation"	"MS"	"http://purl.obolibrary.org/obo/MS_1002271"	"negative scan"	"MS"	"http://purl.obolibrary.org/obo/MS_1000129"	"1"	""	""	"1"	""	""	"18/05/2010"	"BA01-0-1_231560_13_1_1_STANDARD_L1_205479_BA01 Cal 1"	"no file13"	"biocrates analysis"	"MetIQ_Local Build-DB100-Local Build"	""	""	"DT_BA01-0-1_231560"	"BA01-0-1_231560_maf-negative.txt"	""	""	""	""	""	""	""
"BA01 Cal 1"	"extraction/derivatization"	"BA01 Cal 1"	"BA01-0-1"	"not reported"	""	""	"231612"	""	""	"13"	""	""	"none reported"	""	""	"BA01_QTrap5500_A1B1.dam"	""	""	"liquid chromatography separation"	"MS"	"http://purl.obolibrary.org/obo/MS_1002271"	"negative scan"	"MS"	"http://purl.obolibrary.org/obo/MS_1000129"	"1"	""	""	"1"	""	""	"20/05/2010"	"BA01-0-1_231612_13_1_1_STANDARD_L1_205479_BA01 Cal 1"	"BA01-0-1_231612_13_0_1_1_02_205479.wiff"	"biocrates analysis"	"MetIQ_Local Build-DB100-Local Build"	""	""	"DT_BA01-0-1_231612"	"BA01-0-1_231612_maf-negative.txt"	""	""	""	""	""	""	""
"BA01 Cal 1"	"extraction/derivatization"	"BA01 Cal 1"	"BA01-0-1"	"not reported"	""	""	"246605"	""	""	"13"	""	""	"none reported"	""	""	"BA01_1_A1B1_2008-07-24.dam"	""	""	"liquid chromatography separation"	"MS"	"http://purl.obolibrary.org/obo/MS_1002271"	"negative scan"	"MS"	"http://purl.obolibrary.org/obo/MS_1000129"	"1"	""	""	"1"	""	""	"29/06/2010"	"BA01-0-1_246605_13_1_1_STANDARD_L1_205479_BA01 Cal 1"	"BA01-0-1_246605_13_0_1_1_02_205479.wiff"	"biocrates analysis"	"MetIQ_Local Build-DB100-Local Build"	""	""	"DT_BA01-0-1_246605"	"BA01-0-1_246605_maf-negative.txt"	""	""	""	""	""	""	""
"BA01 Cal0 dummy"	"extraction/derivatization"	"BA01 Cal0 dummy"	"BA01-0-1"	"not reported"	""	""	"306281"	""	""	"85"	""	""	"none reported"	""	""	"BA01_1_A1B1_2008-07-24.dam"	""	""	"liquid chromatography separation"	"MS"	"http://purl.obolibrary.org/obo/MS_1002271"	"negative scan"	"MS"	"http://purl.obolibrary.org/obo/MS_1000129"	"1"	""	""	"1"	""	""	"17/11/2010"	"BA01-0-1_306281_85_1_1_STANDARD_L1_282955_BA01 Cal0 dummy"	"BA01-0-1_306281_85_0_1_1_02_282955.wiff"	"biocrates analysis"	"MetIQ_Local Build-DB100-Local Build"	""	""	"DT_BA01-0-1_306281"	"BA01-0-1_306281_maf-negative.txt"	""	""	""	""	""	""	""
"BA01 Cal0 dummy"	"extraction/derivatization"	"BA01 Cal0 dummy"	"BA01-0-1"	"not reported"	""	""	"231560"	""	""	"85"	""	""	"none reported"	""	""	"BA01_QTrap5500_A1B1.dam"	""	""	"liquid chromatography separation"	"MS"	"http://purl.obolibrary.org/obo/MS_1002271"	"negative scan"	"MS"	"http://purl.obolibrary.org/obo/MS_1000129"	"1"	""	""	"1"	""	""	"18/05/2010"	"BA01-0-1_231560_85_1_1_STANDARD_L1_205465_BA01 Cal0 dummy"	"no file78"	"biocrates analysis"	"MetIQ_Local Build-DB100-Local Build"	""	""	"DT_BA01-0-1_231560"	"BA01-0-1_231560_maf-negative.txt"	""	""	""	""	""	""	""
"BA01 Cal0 dummy"	"extraction/derivatization"	"BA01 Cal0 dummy"	"BA01-0-1"	"not reported"	""	""	"231612"	""	""	"85"	""	""	"none reported"	""	""	"BA01_QTrap5500_A1B1.dam"	""	""	"liquid chromatography separation"	"MS"	"http://purl.obolibrary.org/obo/MS_1002271"	"negative scan"	"MS"	"http://purl.obolibrary.org/obo/MS_1000129"	"1"	""	""	"1"	""	""	"20/05/2010"	"BA01-0-1_231612_85_1_1_STANDARD_L1_205465_BA01 Cal0 dummy"	"BA01-0-1_231612_85_0_1_1_02_205465.wiff"	"biocrates analysis"	"MetIQ_Local Build-DB100-Local Build"	""	""	"DT_BA01-0-1_231612"	"BA01-0-1_231612_maf-negative.txt"	""	""	""	""	""	""	""
"BA01 Cal0 dummy"	"extraction/derivatization"	"BA01 Cal0 dummy"	"BA01-0-1"	"not reported"	""	""	"246605"	""	""	"85"	""	""	"none reported"	""	""	"BA01_1_A1B1_2008-07-24.dam"	""	""	"liquid chromatography separation"	"MS"	"http://purl.obolibrary.org/obo/MS_1002271"	"negative scan"	"MS"	"http://purl.obolibrary.org/obo/MS_1000129"	"1"	""	""	"1"	""	""	"29/06/2010"	"BA01-0-1_246605_85_1_1_STANDARD_L1_205465_BA01 Cal0 dummy"	"BA01-0-1_246605_85_0_1_1_02_205465.wiff"	"biocrates analysis"	"MetIQ_Local Build-DB100-Local Build"	""	""	"DT_BA01-0-1_246605"	"BA01-0-1_246605_maf-negative.txt"	""	""	""	""	""	""	""
"BA01 Cal2"	"extraction/derivatization"	"BA01 Cal2"	"BA01-0-1"	"not reported"	""	""	"306281"	""	""	"25"	""	""	"none reported"	""	""	"BA01_1_A1B1_2008-07-24.dam"	""	""	"liquid chromatography separation"	"MS"	"http://purl.obolibrary.org/obo/MS_1002271"	"negative scan"	"MS"	"http://purl.obolibrary.org/obo/MS_1000129"	"1"	""	""	"1"	""	""	"17/11/2010"	"BA01-0-1_306281_25_1_1_STANDARD_L2_282972_BA01 Cal2"	"BA01-0-1_306281_25_0_1_1_02_282972.wiff"	"biocrates analysis"	"MetIQ_Local Build-DB100-Local Build"	""	""	"DT_BA01-0-1_306281"	"BA01-0-1_306281_maf-negative.txt"	""	""	""	""	""	""	""
"BA01 Cal2"	"extraction/derivatization"	"BA01 Cal2"	"BA01-0-1"	"not reported"	""	""	"231560"	""	""	"25"	""	""	"none reported"	""	""	"BA01_QTrap5500_A1B1.dam"	""	""	"liquid chromatography separation"	"MS"	"http://purl.obolibrary.org/obo/MS_1002271"	"negative scan"	"MS"	"http://purl.obolibrary.org/obo/MS_1000129"	"1"	""	""	"1"	""	""	"18/05/2010"	"BA01-0-1_231560_25_1_1_STANDARD_L2_205482_BA01 Cal2"	"no file24"	"biocrates analysis"	"MetIQ_Local Build-DB100-Local Build"	""	""	"DT_BA01-0-1_231560"	"BA01-0-1_231560_maf-negative.txt"	""	""	""	""	""	""	""
